Attacker_Name,sessions,activity_recorded,activity_per_session
CB263 (Federation of Sol),3,10,3.3333333333333335
CB263 (GAT01),2,4,2.0
CB263 (Ghazghul Mag Uruk Thraka),2,6,3.0
CB263 (HitmanCaius),2,2,1.0
CB263 (KingOfTheNorth),5,11,2.2
CB263 (MasterBate),1,1,1.0
CB263 (Nocturnal),2,3,1.5
CB263 (Sandor),1,3,3.0
CB263 (Schwarm),1,4,4.0
CB263 (YoFurry),1,1,1.0
CB263 (Zouberi9),1,4,4.0
CB263 (ada153),1,1,1.0
CB263 (shmJmeel),3,15,5.0
CB264 (Activate Myriad),1,11,11.0
CB264 (Daxio),1,1,1.0
CB264 (Frailty),3,8,2.6666666666666665
CB264 (Gerbilator),1,2,2.0
CB264 (Ice Coffee),1,2,2.0
CB264 (Livallial),1,1,1.0
CB264 (Lost Vessel),8,36,4.5
CB264 (Qu4NtuM),3,13,4.333333333333333
CB264 (Roland),1,3,3.0
CB264 (Schwarm),1,1,1.0
CB264 (SouthStarO5 Sd),1,3,3.0
CB264 (Still Free27),2,4,2.0
CB264 (Third Peace),21,67,3.1904761904761907
CB264 (Twisted Beethoven),1,1,1.0
CB264 (Undead kightkiller),2,3,1.5
CB264 (Venutian-Chaos),3,9,3.0
CB264 (X10A),3,8,2.6666666666666665
CB264 (ZoltanXPS),1,1,1.0
CB264 (bloodybirne),1,27,27.0
CB264 (ummmmmmmmm),3,17,5.666666666666667
CB265 (-=Boner=-),1,9,9.0
CB265 (Admiral Nymyr),1,4,4.0
CB265 (Enduros),1,1,1.0
CB265 (Firehawk),1,10,10.0
CB265 (HighVelocityHarry),1,1,1.0
CB265 (Ixius),3,15,5.0
CB265 (Level 6 Technology),1,1,1.0
CB265 (Secret of Mana),1,1,1.0
CB265 (VanClaymore),1,2,2.0
CB265 (xeb0la),1,1,1.0
CB266 (Barrett50),1,5,5.0
CB266 (CSE),4,10,2.5
CB266 (Darkhaven),1,6,6.0
CB266 (Eulides),11,65,5.909090909090909
CB266 (Frailty),1,1,1.0
CB266 (Jace-Gannon),1,1,1.0
CB266 (LN),10,31,3.1
CB266 (Libra-L7),1,2,2.0
CB266 (Life),1,19,19.0
CB266 (MasterBate),3,6,2.0
CB266 (MistOfSteel),2,4,2.0
CB266 (Schwarm),1,2,2.0
CB266 (Snimals),3,5,1.6666666666666667
CB266 (Still Free27),1,1,1.0
CB266 (Tenshi),1,2,2.0
CB266 (Vulcan-Appocolypse),1,5,5.0
CB266 (bloodybirne),2,6,3.0
CB266 (xElite Kingx),2,7,3.5
CB267 (Comandor_J),1,2,2.0
CB267 (Jon Roy),6,23,3.8333333333333335
CB267 (Nevyn),3,5,1.6666666666666667
CB267 (SouthStarO5 Sd),13,55,4.230769230769231
CB267 (Still Free27),2,2,1.0
CB267 (master5$),2,5,2.5
CB268 (All_My_Swagga),1,12,12.0
CB268 (Earths Son),1,1,1.0
CB268 (Eia),2,3,1.5
CB268 (Gandalf White),5,11,2.2
CB268 (Harvest Moon),4,53,13.25
CB268 (KingOfTheSouth),2,54,27.0
CB268 (Laertes),1,6,6.0
CB268 (Luke I am your Father),2,2,1.0
CB268 (OG Snooks),1,1,1.0
CB268 (Purifier),3,9,3.0
CB268 (Still Free27),4,9,2.25
CB268 (TheMerno),1,2,2.0
CB268 (TheRealTate97),1,2,2.0
CB269 (Dazio),1,2,2.0
CB269 (Durvofei),1,22,22.0
CB269 (Habanero),3,5,1.6666666666666667
CB269 (Hecktor),2,7,3.5
CB269 (HighVelocityHarry),1,2,2.0
CB269 (Luminous),3,7,2.3333333333333335
CB269 (Muffasa),2,6,3.0
CB269 (Nefertiri),1,3,3.0
CB269 (ShivasJoy),1,1,1.0
CB269 (SouthStarO5 FC),1,2,2.0
CB269 (SouthStarO5),1,1,1.0
CB269 (Spawn),1,1,1.0
CB269 (Yugh),22,149,6.7727272727272725
CB269 (black out),3,3,1.0
CB269 (madman32),1,3,3.0
CB269 (mashal II),2,5,2.5
CB269 (pil0t),1,7,7.0
CB27 (Abomni),1,6,6.0
CB27 (Corrupted Seeker),1,1,1.0
CB27 (Darkhaven),3,6,2.0
CB27 (Durvofei),1,2,2.0
CB27 (Garon),3,24,8.0
CB27 (Gringo Taco),1,1,1.0
CB27 (Libra-L7),2,18,9.0
CB27 (MistOfSteel),8,19,2.375
CB27 (Myght Guy),6,42,7.0
CB27 (NeferpitousSquad),1,12,12.0
CB27 (Paxian Dragon),1,7,7.0
CB27 (Savion),4,25,6.25
CB27 (ShivasJoy),1,1,1.0
CB27 (Still Free27),2,5,2.5
CB27 (TheRealTate97),1,3,3.0
CB27 (YoFurry),3,16,5.333333333333333
CB27 (ada153),1,1,1.0
CB27 (black out),1,2,2.0
CB27 (shmJmeel),1,3,3.0
CB270 (Ares - God Of War),8,18,2.25
CB270 (Cormac),7,9,1.2857142857142858
CB270 (Level 6 Technology),3,7,2.3333333333333335
CB270 (Lilin),3,18,6.0
CB270 (MasterBate),3,20,6.666666666666667
CB270 (Miish_SM),1,3,3.0
CB270 (Pilgrim),3,20,6.666666666666667
CB270 (Purple Ork),3,7,2.3333333333333335
CB270 (Ranger Danger),1,2,2.0
CB270 (Shadow Trader),2,5,2.5
CB270 (ShivasJoy),1,9,9.0
CB270 (Skynet-Slaver),5,20,4.0
CB270 (Zooz),1,1,1.0
CB271 (-Gunsmoke-),9,46,5.111111111111111
CB271 (Barrett50),10,31,3.1
CB271 (Bucaneer),2,3,1.5
CB271 (Darkhaven),1,5,5.0
CB271 (Dubis),1,2,2.0
CB271 (FOXJOKE),1,1,1.0
CB271 (Flagship Bucephalus),4,27,6.75
CB271 (Miish),2,3,1.5
CB271 (Nekro Virus),3,3,1.0
CB271 (Paradise Lost),1,1,1.0
CB271 (Still Free27),1,4,4.0
CB271 (Telemachus),1,1,1.0
CB271 (Tongo288),2,10,5.0
CB271 (bag),1,1,1.0
CB271 (firestarspelt2),3,24,8.0
CB271 (pilotix),1,2,2.0
CB272 (187-Proof),1,2,2.0
CB272 (Barony of Letnev),1,1,1.0
CB272 (Corrupted Seeker),1,1,1.0
CB272 (Darkhaven),2,4,2.0
CB272 (Droid3t),2,8,4.0
CB272 (Earthkeeper),1,1,1.0
CB272 (FOXJOKE),1,3,3.0
CB272 (HitmanCaius),1,1,1.0
CB272 (Kazzo),1,2,2.0
CB272 (Libra-L7),1,5,5.0
CB272 (Miish_SM),1,2,2.0
CB272 (Ranger Danger),1,3,3.0
CB272 (SouthStarO5),1,8,8.0
CB272 (Toronto),5,76,15.2
CB272 (hcythcycgctjtfctvhycydvf),11,101,9.181818181818182
CB272 (iPod),3,9,3.0
CB272 (nolife15),1,4,4.0
CB273 (187-Proof),1,2,2.0
CB273 (AnarchyX),10,31,3.1
CB273 (Archipelago),1,3,3.0
CB273 (Cassidy),2,3,1.5
CB273 (Cold Spartan),1,1,1.0
CB273 (Darkhaven),2,5,2.5
CB273 (Ethereal gamma),3,6,2.0
CB273 (Ghost of Creus),4,15,3.75
CB273 (Government Hoover),1,3,3.0
CB273 (JaceGannon),1,1,1.0
CB273 (JubeiSkill),4,10,2.5
CB273 (Kayn),18,83,4.611111111111111
CB273 (Luminous),1,5,5.0
CB273 (Nurse Elly),1,2,2.0
CB273 (Squid DM),1,1,1.0
CB273 (Swog11),1,1,1.0
CB273 (bloodybirne),1,5,5.0
CB273 (nickel),2,12,6.0
CB274 (.......),1,1,1.0
CB274 (Auty),7,17,2.4285714285714284
CB274 (Bucaneer),3,4,1.3333333333333333
CB274 (Carbon),3,6,2.0
CB274 (Colonist),1,1,1.0
CB274 (Comandor_J),1,4,4.0
CB274 (Crade),1,1,1.0
CB274 (DreadLordNaf),1,1,1.0
CB274 (Ethereal Pi),7,9,1.2857142857142858
CB274 (Jimo),2,2,1.0
CB274 (Kalamot),2,3,1.5
CB274 (MasterBate),1,3,3.0
CB274 (Myght Guy),1,1,1.0
CB274 (NukeACow),1,7,7.0
CB274 (bloodybirne),2,5,2.5
CB274 (madman32),2,2,1.0
CB275 (Biharamulo),1,2,2.0
CB275 (Bucaneer),1,2,2.0
CB275 (Droid3t),1,4,4.0
CB275 (Earthkeeper),4,6,1.5
CB275 (JaceGannon),1,2,2.0
CB275 (Kosh),5,27,5.4
CB275 (NukeACow),3,16,5.333333333333333
CB275 (Silius),2,3,1.5
CB275 (Stents),1,1,1.0
CB275 (UrQa Suqqa Qa),1,3,3.0
CB275 (dollar),2,9,4.5
CB276 (Captain Doge),3,3,1.0
CB276 (Comandor_J),1,3,3.0
CB276 (Dioikitis),4,13,3.25
CB276 (DonQuixote),2,18,9.0
CB276 (Earthkeeper),2,2,1.0
CB276 (HusTomten),2,3,1.5
CB276 (Kazasu),1,3,3.0
CB276 (Shadow Trader),1,1,1.0
CB276 (Slingshot),4,17,4.25
CB276 (SouthStarO5),2,85,42.5
CB276 (Tenshi),1,4,4.0
CB276 (Titaniumizer),9,37,4.111111111111111
CB276 (Ungodly Planet),2,11,5.5
CB277 (Barony of Letnev),2,8,4.0
CB277 (Comandor_J),1,5,5.0
CB277 (Darkhaven),3,12,4.0
CB277 (DefinitelynotDingus),5,25,5.0
CB277 (DrPepper),1,9,9.0
CB277 (Gargamelikos),2,2,1.0
CB277 (Imperator Princeps),1,1,1.0
CB277 (Laertes),3,14,4.666666666666667
CB277 (Nekro Virus),1,1,1.0
CB277 (NoobFl),1,5,5.0
CB277 (SouthStarO5),3,11,3.6666666666666665
CB277 (Still Free27),1,9,9.0
CB277 (Suspicious Coconut),1,5,5.0
CB277 (Swog16),1,4,4.0
CB277 (Time Cop),6,26,4.333333333333333
CB277 (X10A),2,10,5.0
CB277 (ZoltanXPS),2,7,3.5
CB277 (ada153),1,1,1.0
CB277 (gorkg),1,5,5.0
CB277 (ummmmmmmmm),32,437,13.65625
CB278 (Aquistitor),1,1,1.0
CB278 (Daxio),1,1,1.0
CB278 (GAT01),1,7,7.0
CB278 (Hellfrost),1,6,6.0
CB278 (Kayn),18,99,5.5
CB278 (Level 6 Technology),7,35,5.0
CB278 (Libra-L7),1,2,2.0
CB278 (PandemicRoyale),1,5,5.0
CB278 (Peter Quill),1,16,16.0
CB278 (Qu4NtuM),4,16,4.0
CB278 (Swog7),1,1,1.0
CB278 (TechStarO5),2,3,1.5
CB278 (The Big Bang Theory),2,3,1.5
CB278 (Zaknefien),2,7,3.5
CB278 (hellguard3),5,90,18.0
CB278 (iPod),2,11,5.5
CB278 (tribohr),1,1,1.0
CB279 (Barony of Letnev),3,7,2.3333333333333335
CB279 (Beetle),2,5,2.5
CB279 (Ethereal Mu),1,2,2.0
CB279 (FOXJOKE),1,1,1.0
CB279 (God of Thunder),2,2,1.0
CB279 (HusTomten),1,1,1.0
CB279 (Level 6 Technology),1,4,4.0
CB279 (Libra-L7),1,2,2.0
CB279 (ShivasJoy),1,11,11.0
CB279 (Still Free27),1,1,1.0
CB279 (Trivellium),1,4,4.0
CB279 (black out),1,2,2.0
CB279 (bloodybirne),1,1,1.0
CB279 (comanderjoe),1,7,7.0
CB28 (Barrett50),3,5,1.6666666666666667
CB28 (Chachoo),1,2,2.0
CB28 (Darkhaven),4,16,4.0
CB28 (KingOfTheSouth),4,53,13.25
CB28 (Kosh),4,6,1.5
CB28 (Mammoth Tank),3,6,2.0
CB28 (Marsian Mahem),1,1,1.0
CB28 (OG Snooks),2,31,15.5
CB28 (Sandor),1,26,26.0
CB28 (Sofie),1,15,15.0
CB28 (The Insanity),2,3,1.5
CB28 (UnicornFlash),1,1,1.0
CB28 (Witch King of Angmar),5,9,1.8
CB28 (hellguard3),2,23,11.5
CB28 (pilotix),8,13,1.625
CB28 (ummmmmmmmm),2,6,3.0
CB280 (13 The Annihilator),21,60,2.857142857142857
CB280 (Abbara),2,6,3.0
CB280 (BC Hunter 2),1,3,3.0
CB280 (Blohm-Voss),1,1,1.0
CB280 (Bucaneer),1,2,2.0
CB280 (Comandor_J),2,3,1.5
CB280 (Dark Flame Guard),4,8,2.0
CB280 (Deslock35),2,10,5.0
CB280 (Ethereal beta),5,10,2.0
CB280 (FOXJOKE),1,1,1.0
CB280 (Frailty),1,16,16.0
CB280 (Ghost of Creus),19,98,5.157894736842105
CB280 (Government Hoover),1,3,3.0
CB280 (Harvest Moon),7,32,4.571428571428571
CB280 (Hooch Dealer),7,13,1.8571428571428572
CB280 (HusTomten),13,23,1.7692307692307692
CB280 (Jimo),1,2,2.0
CB280 (MasterBate),1,6,6.0
CB280 (Noodle420),1,3,3.0
CB280 (Old Lazerus),1,1,1.0
CB280 (Peter Quill),2,19,9.5
CB280 (ShivasJoy),1,1,1.0
CB280 (Snimals),2,2,1.0
CB280 (Sofie),1,8,8.0
CB280 (Spirit of the Healer),3,29,9.666666666666666
CB280 (Spiritbox),1,1,1.0
CB280 (Vailen),1,1,1.0
CB280 (Vorporal),1,1,1.0
CB280 (Woozy),1,2,2.0
CB280 (ada153),1,1,1.0
CB280 (comanderjoe),1,2,2.0
CB281 (Accidental Child),3,5,1.6666666666666667
CB281 (Azak),5,61,12.2
CB281 (Bucaneer),3,4,1.3333333333333333
CB281 (ChadTheBombLad),1,4,4.0
CB281 (Darkhaven),1,4,4.0
CB281 (DefinitelynotDingus),2,42,21.0
CB281 (Derivative),2,5,2.5
CB281 (Hellfrost),2,7,3.5
CB281 (No Teeth),1,1,1.0
CB281 (Ostehaps),2,2,1.0
CB281 (Sandor),1,6,6.0
CB281 (Sigemas98),6,21,3.5
CB281 (Still Free27),2,2,1.0
CB281 (Trapping),2,4,2.0
CB282 (Anzu),1,1,1.0
CB282 (BaseGannon),1,4,4.0
CB282 (Blohm-Voss),1,1,1.0
CB282 (Dark Flame Guard),4,18,4.5
CB282 (Glen),2,3,1.5
CB282 (Iron),16,26,1.625
CB282 (Jace-Gannon),2,6,3.0
CB282 (Suicidal Sid),1,1,1.0
CB282 (Super Mario Bros 1),10,23,2.3
CB282 (TORMENTER),1,2,2.0
CB282 (Telemachus),1,1,1.0
CB282 (Trouble),19,74,3.8947368421052633
CB282 (Undead Bready),1,4,4.0
CB282 (UnicornFlash),1,2,2.0
CB282 (ZeviorZoom),2,2,1.0
CB282 (ZoltanXPS),1,1,1.0
CB282 (bloodybirne),1,2,2.0
CB282 (iPod),1,4,4.0
CB283 (Bucaneer),1,1,1.0
CB283 (Deslock35),3,41,13.666666666666666
CB283 (Ethereal gamma),1,1,1.0
CB283 (FOXJOKE),1,2,2.0
CB283 (Government Hoover),1,3,3.0
CB283 (Han Tzu),3,6,2.0
CB283 (KingOfTheEast),2,5,2.5
CB283 (KingOfTheNorth),5,43,8.6
CB283 (Libra-L7),2,21,10.5
CB283 (MasterBate),1,3,3.0
CB283 (MistOfSteel),5,17,3.4
CB283 (Number XIII),1,4,4.0
CB283 (SinsOfOurFathers),1,1,1.0
CB283 (The Eventhorizon),1,5,5.0
CB283 (bloodybirne),1,2,2.0
CB283 (dollar),1,1,1.0
CB283 (inu455),3,7,2.3333333333333335
CB283 (kez),1,15,15.0
CB283 (shmJmeel),1,2,2.0
CB283 (woodfam),3,3,1.0
CB284 (ACE),4,22,5.5
CB284 (Albert Hofmann),1,8,8.0
CB284 (Aquistitor),1,2,2.0
CB284 (Federation of Sol),1,2,2.0
CB284 (NukeACow),2,9,4.5
CB284 (Sandor),2,4,2.0
CB284 (Skynet-Slaver),3,4,1.3333333333333333
CB284 (Syrrex),1,11,11.0
CB284 (Virtual Dream),1,4,4.0
CB284 (Zena),1,1,1.0
CB284 (ZoltanXPS),1,1,1.0
CB284 (ada153),1,1,1.0
CB285 (Bready),2,8,4.0
CB285 (GAT01),1,4,4.0
CB285 (Jimo),2,5,2.5
CB285 (KingOfTheSouth),3,40,13.333333333333334
CB285 (Lost Vessel),1,8,8.0
CB285 (OG Snooks),1,17,17.0
CB285 (Paradise Lost),1,2,2.0
CB285 (ShivasJoy),1,3,3.0
CB285 (Tenshi),2,2,1.0
CB285 (The White Fang),2,2,1.0
CB285 (Torch),2,4,2.0
CB285 (Triskaidekaphobia),1,3,3.0
CB285 (Typhoon),3,29,9.666666666666666
CB285 (Verbera_meam_simian),1,1,1.0
CB285 (ZoltanXPS),2,2,1.0
CB285 (jeffgordon),1,4,4.0
CB285 (mashal II),1,1,1.0
CB285 (rippyking),2,5,2.5
CB285 (xElite Kingx),1,1,1.0
CB286 (Aulides),3,3,1.0
CB286 (CSE),1,4,4.0
CB286 (Comander Caius),7,13,1.8571428571428572
CB286 (Dazio),1,2,2.0
CB286 (Enduros),7,42,6.0
CB286 (Ethereal gamma),1,1,1.0
CB286 (ExtraMonty),1,5,5.0
CB286 (Nostromontous),2,8,4.0
CB286 (RS Ultimate),5,6,1.2
CB286 (Sandor),1,6,6.0
CB286 (Schwarm),1,1,1.0
CB286 (Silver Wolf),1,2,2.0
CB286 (Telemachus),1,4,4.0
CB286 (The Eventhorizon),6,30,5.0
CB286 (Truls),2,3,1.5
CB286 (Wanderer),4,6,1.5
CB286 (bloodybirne),1,2,2.0
CB286 (shoot me nao),1,10,10.0
CB287 (Comandor_J),1,1,1.0
CB287 (Deslock35),1,3,3.0
CB287 (Droid3t),1,1,1.0
CB287 (Drushem1),3,23,7.666666666666667
CB287 (Garon),5,21,4.2
CB287 (Irony),1,9,9.0
CB287 (JaceGannon),1,4,4.0
CB287 (Jack Worthing),1,2,2.0
CB287 (Lazerus),2,3,1.5
CB287 (NoobFl),2,3,1.5
CB287 (Paranid),4,22,5.5
CB287 (StarCzar),1,7,7.0
CB287 (Super Mario Kart),2,6,3.0
CB287 (Typhoon),1,6,6.0
CB287 (bloodybirne),2,9,4.5
CB288 (Cammy2014),4,13,3.25
CB288 (Comfort Food),2,7,3.5
CB288 (Darkhaven),2,4,2.0
CB288 (Dubis),1,1,1.0
CB288 (FOXJOKE),1,1,1.0
CB288 (Federation of Sol),1,1,1.0
CB288 (FeiFei),19,117,6.157894736842105
CB288 (FriendlyUndertaker),1,3,3.0
CB288 (KingOfTheEast),6,20,3.3333333333333335
CB288 (Mauty),2,3,1.5
CB288 (MistOfSteel),3,10,3.3333333333333335
CB288 (Telemachus),2,2,1.0
CB288 (Tourist),1,3,3.0
CB288 (firestarspelt2),4,20,5.0
CB288 (nymphomaniac),1,1,1.0
CB289 (Anti Matter),16,58,3.625
CB289 (Bendis),1,5,5.0
CB289 (Ethereal gamma),1,4,4.0
CB289 (FOXJOKE),1,2,2.0
CB289 (Government Hoover),1,1,1.0
CB289 (Kuura Somtaaw),4,25,6.25
CB289 (Libra-L7),1,1,1.0
CB289 (MasterBate),1,3,3.0
CB289 (NukeACow),1,56,56.0
CB289 (ReVityyfc),1,5,5.0
CB289 (Undead kightkiller),1,5,5.0
CB289 (YoFurry),1,3,3.0
CB289 (gorkg),1,1,1.0
CB29 (Activate Fury),3,22,7.333333333333333
CB29 (Budis),1,3,3.0
CB29 (Earthkeeper),1,2,2.0
CB29 (FriendlyUndertaker),3,5,1.6666666666666667
CB29 (Glass Cloud),1,5,5.0
CB29 (Hellfrost),1,9,9.0
CB29 (Snimals),1,8,8.0
CB29 (ThatClutchKid),1,1,1.0
CB29 (huh),9,93,10.333333333333334
CB29 (jeffgordon),1,2,2.0
CB290 (Bucaneer),3,6,2.0
CB290 (Deslock35),1,2,2.0
CB290 (Eia),6,25,4.166666666666667
CB290 (Ethereal gamma),15,29,1.9333333333333333
CB290 (Flagship Bucephalus),5,13,2.6
CB290 (Gargamelikos),1,1,1.0
CB290 (Government Hoover),1,2,2.0
CB290 (NukeACow),6,73,12.166666666666666
CB290 (Paradise Lost),1,1,1.0
CB290 (Russian Power),5,249,49.8
CB290 (Sledge Hammer),4,5,1.25
CB290 (Squid DM),1,2,2.0
CB290 (Still Free27),1,2,2.0
CB290 (Tenshi),3,4,1.3333333333333333
CB290 (Terrance),2,3,1.5
CB290 (Trapping),1,1,1.0
CB290 (UnicornFlash),3,11,3.6666666666666665
CB290 (ada153),1,4,4.0
CB290 (bloodybirne),1,9,9.0
CB290 (pil0t),1,5,5.0
CB290 (xeb0la),1,2,2.0
CB291 (Banshee),1,32,32.0
CB291 (CSE),7,81,11.571428571428571
CB291 (Chachoo),1,1,1.0
CB291 (Commander Peet),1,1,1.0
CB291 (Darkhaven),1,3,3.0
CB291 (Frailty),1,22,22.0
CB291 (Imperator Princeps),1,4,4.0
CB291 (Libra-L7),1,7,7.0
CB291 (Miranda),1,3,3.0
CB291 (Nga),2,9,4.5
CB291 (Paradise Lost),2,4,2.0
CB291 (phoon),10,193,19.3
CB292 (Activate Fury),2,11,5.5
CB292 (Arthur Dent),1,14,14.0
CB292 (Bracara Augusta),2,7,3.5
CB292 (Colonist),1,2,2.0
CB292 (Hooch Dealer),9,78,8.666666666666666
CB292 (Khaak),1,7,7.0
CB292 (KingOfTheEast),4,18,4.5
CB292 (Nekro Virus),2,4,2.0
CB292 (Nouvelle lune),2,2,1.0
CB292 (SouthStarO5),1,7,7.0
CB292 (Still Free27),5,16,3.2
CB292 (Telemachus),1,2,2.0
CB292 (Tradgardstomten),1,1,1.0
CB292 (bloodybirne),4,37,9.25
CB292 (comanderjoe),1,2,2.0
CB292 (iPod),2,14,7.0
CB292 (kwilson),1,32,32.0
CB292 (xDrag0nx),6,32,5.333333333333333
CB293 (Badunka),5,16,3.2
CB293 (Citala),1,2,2.0
CB293 (Comandor_J),2,19,9.5
CB293 (DefinitelynotDingus),1,11,11.0
CB293 (Ghost of Creus),2,4,2.0
CB293 (KingOfTheEast),5,9,1.8
CB293 (Libra-L7),2,21,10.5
CB293 (Myght Guy),1,2,2.0
CB293 (Qu4NtuM),1,1,1.0
CB293 (Spiritbox),2,23,11.5
CB293 (The Master Of Masks),3,15,5.0
CB293 (ZGMF),1,4,4.0
CB293 (Zeren),4,18,4.5
CB293 (ada153),1,1,1.0
CB293 (bloodybirne),1,12,12.0
CB294 (CSE),2,4,2.0
CB294 (Castlevania),1,3,3.0
CB294 (Curse),3,4,1.3333333333333333
CB294 (D34TH),4,59,14.75
CB294 (Daxio),2,86,43.0
CB294 (FOXJOKE),1,6,6.0
CB294 (Nyarambugu),1,1,1.0
CB294 (Pilgrim),3,11,3.6666666666666665
CB294 (Rootheer),1,10,10.0
CB294 (ShivasJoy),1,1,1.0
CB294 (Spiritbox),2,4,2.0
CB294 (Terrance),2,4,2.0
CB294 (crop octagon),5,14,2.8
CB295 (Croatian Madman),1,1,1.0
CB295 (Darkhaven),1,1,1.0
CB295 (FOXJOKE),1,1,1.0
CB295 (Fluffy),7,20,2.857142857142857
CB295 (InTheBox),17,39,2.2941176470588234
CB295 (LN),1,1,1.0
CB295 (Life),1,5,5.0
CB295 (Noint),1,1,1.0
CB295 (Peter Quill),5,15,3.0
CB295 (Weebee),6,17,2.8333333333333335
CB295 (ada153),1,2,2.0
CB295 (shmJmeel),1,1,1.0
CB296 (Albert Hofmann),1,5,5.0
CB296 (Archipelago),1,1,1.0
CB296 (Comandor_J),1,4,4.0
CB296 (Darkhaven),7,15,2.142857142857143
CB296 (Donnie2012),3,24,8.0
CB296 (FeiFei),4,79,19.75
CB296 (Gerbilator),1,1,1.0
CB296 (Government Hoover),3,6,2.0
CB296 (I never said that to her),2,5,2.5
CB296 (Iron),14,49,3.5
CB296 (Nobus),4,14,3.5
CB296 (OG Snooks),2,25,12.5
CB296 (Paxian Dragon),1,51,51.0
CB296 (Qu4NtuM),3,6,2.0
CB296 (Schwarm),1,1,1.0
CB296 (Undead kightkiller),3,10,3.3333333333333335
CB296 (UnicornFlash),2,3,1.5
CB296 (ZoltanXPS),1,1,1.0
CB296 (iPod),1,17,17.0
CB296 (woodfam),2,4,2.0
CB297 (Activate Myriad),1,14,14.0
CB297 (Flameone),2,3,1.5
CB297 (Irony),2,8,4.0
CB297 (Libra-L7),1,4,4.0
CB297 (Noint),1,2,2.0
CB297 (NukeACow),7,14,2.0
CB297 (Number XIII),5,45,9.0
CB297 (Peter Quill),2,4,2.0
CB297 (Shaggy),1,2,2.0
CB297 (Skynet-Slaver),3,5,1.6666666666666667
CB297 (SouthStarO5 Sd),2,69,34.5
CB297 (SouthStarO5),4,7,1.75
CB297 (T-BagBikerStar),1,3,3.0
CB297 (Undead kightkiller),1,23,23.0
CB297 (Venutian-Chaos),1,15,15.0
CB297 (ada153),1,2,2.0
CB297 (comanderjoe),1,5,5.0
CB298 (Enyo),2,15,7.5
CB298 (FOXJOKE),1,1,1.0
CB298 (Farone2),1,2,2.0
CB298 (Feineids),29,225,7.758620689655173
CB298 (Hitmanoso),1,3,3.0
CB298 (Lazerus-II),1,3,3.0
CB298 (Nekro Virus),2,3,1.5
CB298 (Paradise Lost),1,5,5.0
CB298 (PeriPock),1,1,1.0
CB298 (Phontonx),2,2,1.0
CB298 (ShivasJoy),1,2,2.0
CB298 (Still Free27),2,5,2.5
CB299 (Barrett50),1,1,1.0
CB299 (Cheese_God),1,4,4.0
CB299 (Darkhaven),2,3,1.5
CB299 (Eia),6,23,3.8333333333333335
CB299 (FOXJOKE),1,1,1.0
CB299 (Gargamelikos),2,3,1.5
CB299 (Habanero),1,7,7.0
CB299 (HighVelocityHarry),2,3,1.5
CB299 (Khaak),1,1,1.0
CB299 (Laertes),2,11,5.5
CB299 (Libra-L7),5,78,15.6
CB299 (Peter Quill),2,40,20.0
CB299 (Still Free27),2,19,9.5
CB299 (Swog7),2,6,3.0
CB299 (The Follies of Midas),1,1,1.0
CB299 (Zouberi9),3,17,5.666666666666667
CB299 (rippyking),1,3,3.0
CB299 (shoot me nao),1,1,1.0
CB3 (All_My_Swagga),1,4,4.0
CB3 (Cerus),4,55,13.75
CB3 (Darkhaven),2,3,1.5
CB3 (Gago Coutinho),1,8,8.0
CB3 (HighVelocityHarry),1,3,3.0
CB3 (Level 8 Technology),2,6,3.0
CB3 (Nga),3,5,1.6666666666666667
CB3 (Polyphia),1,2,2.0
CB3 (Qu4NtuM),3,31,10.333333333333334
CB3 (Shadow Ban),1,2,2.0
CB3 (Shadow Trader),13,233,17.923076923076923
CB3 (SouthStarO5),1,4,4.0
CB3 (TechStarO5),1,2,2.0
CB3 (Telemachus),1,1,1.0
CB3 (Trivellium),1,6,6.0
CB3 (YoFurry),1,1,1.0
CB3 (ada153),1,1,1.0
CB3 (odinn),1,2,2.0
CB30 (Abbara),2,8,4.0
CB30 (Archipelago),1,3,3.0
CB30 (DefinitelynotDingus),4,87,21.75
CB30 (Hooch Dealer),1,3,3.0
CB30 (JaceGannon),1,1,1.0
CB30 (Laertes),1,2,2.0
CB30 (Level 8 Technology),1,1,1.0
CB30 (Libra-L7),3,36,12.0
CB30 (Noobie always),6,16,2.6666666666666665
CB30 (NukeACow),1,1,1.0
CB30 (Pilgrim),2,22,11.0
CB30 (Spawn),15,17,1.1333333333333333
CB30 (Torch),4,17,4.25
CB30 (Trevor),3,13,4.333333333333333
CB30 (Undead kightkiller),1,5,5.0
CB30 (UnicornFlash),2,4,2.0
CB30 (ada153),1,1,1.0
CB30 (black out),3,7,2.3333333333333335
CB30 (bloodybirne),2,4,2.0
CB30 (iPod),5,13,2.6
CB300 (Bucaneer),3,10,3.3333333333333335
CB300 (Chachoo),1,2,2.0
CB300 (Darkhaven),1,1,1.0
CB300 (Earths Son),1,2,2.0
CB300 (FOXJOKE),1,4,4.0
CB300 (Federation of Sol),3,12,4.0
CB300 (Hecktor),2,2,1.0
CB300 (JaceGannon),1,1,1.0
CB300 (Jechtzero),1,1,1.0
CB300 (Jon Roy),2,6,3.0
CB300 (Libra-L7),1,1,1.0
CB300 (MDK),4,45,11.25
CB300 (Noodle420),1,1,1.0
CB300 (ShivasJoy),1,3,3.0
CB300 (Skynet-Slaver),2,7,3.5
CB300 (Snimals),2,9,4.5
CB300 (SonataPinata),1,1,1.0
CB300 (Swog7),1,1,1.0
